name,price,category,brand,url,sku,variant,description,spec_Framefit,spec_Bottom_bracket
Domane AL 2 Rim,949.0,Performance road bikes,Trek,/nl/nl_NL/p/33037/,33037,blue_black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane AL 2 Gen 4,999.0,Performance road bikes,Trek,/nl/nl_NL/p/41587/,41587,greydark,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 3 Gen 3,1299.0,Checkpoint,Trek,/nl/nl_NL/p/49944/,49944,reddark,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 3 Gen 2,1299.0,Checkpoint,Trek,/nl/nl_NL/p/47530/,47530,red,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 4 Gen 2,1499.0,Checkpoint,Trek,/nl/nl_NL/p/41513/,41513,bluedark,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 4 Gen 3,1499.0,Checkpoint,Trek,/nl/nl_NL/p/49973/,49973,pink,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Domane AL 4 Gen 4,1599.0,Performance road bikes,Trek,/nl/nl_NL/p/41607/,41607,white,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 5 Gen 2,1799.0,Checkpoint,Trek,/nl/nl_NL/p/41640/,41640,tealdark,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
FX Sport 4,1799.0,Active &amp; fitness bikes,Trek,/nl/nl_NL/p/40822/,40822,greydark,,Comfort*,"Shimano RS500, 86 mm, PressFit*"
Émonda ALR 5,1999.0,Performance road bikes,Trek,/nl/nl_NL/p/41426/,41426,red_reddark,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane AL 5 Gen 4,1999.0,Performance road bikes,Trek,/nl/nl_NL/p/41395/,41395,black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint ALR 5 Gen 3,1999.0,Checkpoint,Trek,/nl/nl_NL/p/49946/,49946,bluelight_teal,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
FX Sport SL 5,1999.0,Active &amp; fitness bikes,Trek,/nl/nl_NL/p/47263/,47263,greendark_black,,Comfort*,"Shimano RS500, 86 mm, PressFit*"
Émonda SL 5,2699.0,Performance road bikes,Trek,/nl/nl_NL/p/36974/,36974,greydark,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane SL 5 Gen 4,2799.0,Performance road bikes,Trek,/nl/nl_NL/p/41348/,41348,greylight,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
FX Sport SL 6,2799.0,Active &amp; fitness bikes,Trek,/nl/nl_NL/p/47256/,47256,bronze_black,,Comfort*,"Shimano RS500, 86 mm, PressFit*"
FX Sport 6,2999.0,Active &amp; fitness bikes,Trek,/nl/nl_NL/p/35787/,35787,black,,Comfort*,"Shimano RS500, 86 mm, PressFit*"
Domane+ AL 5,2999.0,Electric road bikes,Trek,/nl/nl_NL/p/47218/,47218,blue,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Madone SL 5 Gen 8,3099.0,Performance road bikes,Trek,/nl/nl_NL/p/46218/,46218,blue,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint SL 5 AXS Gen 3,3499.0,Checkpoint,Trek,/nl/nl_NL/p/47071/,47071,black_grey,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Boone 5,3499.0,Cyclocross bikes,Trek,/nl/nl_NL/p/41655/,41655,greylight,,H1.5 Race*,
Checkpoint SL 5 Gen 2,3699.0,Checkpoint,Trek,/nl/nl_NL/p/41398/,41398,orange,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*"
Checkpoint SL 6 AXS Gen 3,3999.0,Checkpoint,Trek,/nl/nl_NL/p/55098/,55098,greendark,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SL 6 AXS Gen 8,4299.0,Performance road bikes,Trek,/nl/nl_NL/p/46221/,46221,black,,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SL 6 gen 4,4299.0,Performance road bikes,Trek,/nl/nl_NL/p/47131/,47131,bluedark,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Émonda SL 6,4499.0,Performance road bikes,Trek,/nl/nl_NL/p/41352/,41352,greylight_purple,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint SL 6 AXS Gen 2,4599.0,Checkpoint,Trek,/nl/nl_NL/p/41397/,41397,greenlight,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SL 6 Gen 8,4799.0,Performance road bikes,Trek,/nl/nl_NL/p/46219/,46219,red,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane SL 6 AXS gen 4,4999.0,Performance road bikes,Trek,/nl/nl_NL/p/36152/,36152,bluedark,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SL 7 Gen 4,5499.0,Performance road bikes,Trek,/nl/nl_NL/p/47132/,47132,black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Émonda SL 7,5499.0,Performance road bikes,Trek,/nl/nl_NL/p/35046/,35046,blue_black,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane SL 7 gen 3,5669.1,Performance road bikes,Trek,/nl/nl_NL/p/35333/,35333,grey_black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Madone SL 6 Gen 7,5999.0,Performance road bikes,Trek,/nl/nl_NL/p/41466/,41466,grey,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Madone SL 7 Gen 8,5999.0,Performance road bikes,Trek,/nl/nl_NL/p/46220/,46220,grey,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkpoint SL 7 AXS Gen 3,5999.0,Checkpoint,Trek,/nl/nl_NL/p/55097/,55097,green_black,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SLR 7 gen 4,7499.0,Performance road bikes,Trek,/nl/nl_NL/p/57892/,57892,green,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Checkmate SLR 7 AXS,7499.0,Gravel bikes,Trek,/nl/nl_NL/p/58668/,58668,greendark_greenlight,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SL 7 Gen 7,7999.0,Performance road bikes,Trek,/nl/nl_NL/p/41467/,41467,greylight,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane SLR 7 AXS Gen 4,7999.0,Performance road bikes,Trek,/nl/nl_NL/p/57915/,57915,green,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SLR 7 Gen 8,7999.0,Performance road bikes,Trek,/nl/nl_NL/p/46687/,46687,red,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane+ SLR 6 Pro,8499.0,Electric road bikes,Trek,/nl/nl_NL/p/36703/,36703,black_grey,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane+ SLR 7,8499.0,Electric road bikes,Trek,/nl/nl_NL/p/36707/,36707,white_gold,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Madone SLR 7 AXS,8499.0,Performance road bikes,Trek,/nl/nl_NL/p/58135/,58135,blue,,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Speed Concept SLR 7,8499.0,Triathlon bikes,Trek,/nl/nl_NL/p/35577/,35577,reddark_black,,Triatlon*,
Checkmate SLR 8 AXS,8999.0,Gravel bikes,Trek,/nl/nl_NL/p/49169/,49169,greendark_greenlight,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SLR 8 AXS Gen 4,8999.0,Performance road bikes,Trek,/nl/nl_NL/p/49167/,49167,orange_black,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Speed Concept SLR 7 AXS,8999.0,Triathlon bikes,Trek,/nl/nl_NL/p/56332/,56332,reddark_black,,Triatlon*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SLR 7 AXS Gen 8,9499.0,Performance road bikes,Trek,/nl/nl_NL/p/46688/,46688,white_blue,,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SLR 8 AXS Gen 8,9499.0,Performance road bikes,Trek,/nl/nl_NL/p/49168/,49168,white_blue,,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Speed Concept SLR 8 AXS,9499.0,Triathlon bikes,Trek,/nl/nl_NL/p/49162/,49162,reddark_black,,Triatlon*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Checkmate SLR 9 AXS,9999.0,Gravel bikes,Trek,/nl/nl_NL/p/46152/,46152,greendark_greenlight,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SLR 9 Gen 4,10499.0,Performance road bikes,Trek,/nl/nl_NL/p/57942/,57942,green,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane+ SLR 8 AXS,10599.0,Electric road bikes,Trek,/nl/nl_NL/p/49166/,49166,white,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane+ SLR 7 AXS,10599.0,Electric road bikes,Trek,/nl/nl_NL/p/41481/,41481,white_gold,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane SLR 9 AXS Gen 4,10999.0,Performance road bikes,Trek,/nl/nl_NL/p/57944/,57944,green,,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Speed Concept SLR 9,11499.0,Triathlon bikes,Trek,/nl/nl_NL/p/35757/,35757,reddark_black,,Triatlon*,
Madone SLR 9 gen 8,11499.0,Performance road bikes,Trek,/nl/nl_NL/p/46707/,46707,white_blue,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*"
Domane SLR 9 gen 4,11499.0,Performance road bikes,Trek,/nl/nl_NL/p/37357/,37357,orange_black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
Speed Concept SLR 9 AXS,11999.0,Triathlon bikes,Trek,/nl/nl_NL/p/48020/,48020,reddark_black,,Triatlon*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Madone SLR 9 AXS Gen 8,11999.0,Performance road bikes,Trek,/nl/nl_NL/p/46151/,46151,white_blue,,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*"
Domane+ SLR 9,12499.0,Electric road bikes,Trek,/nl/nl_NL/p/36741/,36741,white_gold,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*"
